SRCID,dVal,0xMSB,0xLSB
Ip1,0,00,00
Ip2,1,00,01
Ip3,2,00,02
Ip4,3,00,03
Ip5,4,00,04
Ip6,5,00,05
Ip7,6,00,06
Ip8,7,00,07
Ip9,8,00,08
Ip10,9,00,09
Ip11,10,00,0A
Ip12,11,00,0B
Ip13,12,00,0C
Ip14,13,00,0D
Ip15,14,00,0E
Ip16,15,00,0F
Ip17,16,00,10
Ip18,17,00,11
Ip19,18,00,12
Ip20,19,00,13
Ip21,20,00,14
Ip22,21,00,15
Ip23,22,00,16
Ip24,23,00,17
Ip25,24,00,18
Ip26,25,00,19
Ip27,26,00,1A
Ip28,27,00,1B
Ip29,28,00,1C
Ip30,29,00,1D
Ip31,30,00,1E
Ip32,31,00,1F
Ip33,32,00,20
Ip34,33,00,21
Ip35,34,00,22
Ip36,35,00,23
Ip37,36,00,24
Ip38,37,00,25
Ip39,38,00,26
Ip40,39,00,27
Ip41,40,00,28
Ip42,41,00,29
Ip43,42,00,2A
Ip44,43,00,2B
Ip45,44,00,2C
Ip46,45,00,2D
Ip47,46,00,2E
Ip48,47,00,2F
Grp1,48,00,30
Grp2,49,00,31
Grp3,50,00,32
Grp4,51,00,33
Grp5,52,00,34
Grp6,53,00,35
Grp7,54,00,36
Grp8,55,00,37
Grp9,56,00,38
Grp10,57,00,39
Grp11,58,00,3A
Grp12,59,00,3B
FX1Rtn,60,00,3C
FX2Rtn,61,00,3D
FX3Rtn,62,00,3E
FX4Rtn,63,00,3F
FX5Rtn,64,00,40
FX6Rtn,65,00,41
FX7Rtn,66,00,42
FX8Rtn,67,00,43
LR,68,00,44
Aux1,69,00,45
Aux2,70,00,46
Aux3,71,00,47
Aux4,72,00,48
Aux5,73,00,49
Aux6,74,00,4A
Aux7,75,00,4B
Aux8,76,00,4C
Aux9,77,00,4D
Aux10,78,00,4E
Aux11,79,00,4F
Aux12,80,00,50
FX1Snd,81,00,51
FX2Snd,82,00,52
FX3Snd,83,00,53
FX4Snd,84,00,54
Mtx1,85,00,55
Mtx2,86,00,56
Mtx3,87,00,57
DCA1,512,02,00
DCA2,513,02,01
DCA3,514,02,02
DCA4,515,02,03
DCA5,516,02,04
DCA6,517,02,05
DCA7,518,02,06
DCA8,519,02,07
MGRP1,1024,04,00
MGRP2,1025,04,01
MGRP3,1026,04,02
MGRP4,1027,04,03
MGRP5,1028,04,04
MGRP6,1029,04,05
MGRP7,1030,04,06
MGRP8,1031,04,07
